Catches
0
0
0
1
8
31
66
102
129
144
149
145
136
125
112
100
88
78
68
60
56
64
79
94
105
109
108
104
98
91
83
75
68
62
56
50
45
41
37
34
31
28
26
24
22
23
25
27
27
27
26
24
23
22
20
19
18
16
15
14
13
13
12
11
10
10
9
9
8
8
8
7
7
7
6
6
6
6
6
5
5
5
5
5
5
