Catches
731
558
554
533
660
427
415
286
348
384
176
199
239
170
197
183
187
180
229
246
264
281
299
316
334
351
369
368
366
365
364
362
361
359
358
347
335
324
312
301
289
278
266
255
243
240
238
235
232
229
227
224
221
208
194
181
167
154
140
127
113
100
86
73
59
56
53
51
48
45
42
39
37
34
31
28
25
23
20
17
14
11
9
6
3
